index,step_estimated,layer_estimated,alpha_s,alpha_f
98,1,34,0.9372886419296265,1.1859012842178345
99,1,35,1.3406150341033936,1.2961212396621704
100,1,36,1.312116026878357,1.868789792060852
101,1,37,1.5886633396148682,1.607128381729126
102,1,38,1.3179214000701904,1.8363416194915771
103,1,39,1.3719476461410522,1.859661340713501
104,1,40,1.3803436756134033,1.1525856256484985
105,1,41,1.5243674516677856,1.8791306018829346
106,1,42,1.2758376598358154,0.9138108491897583
107,1,43,1.3913182020187378,1.7262532711029053
108,1,44,1.533769130706787,1.4138208627700806
109,1,45,1.6426215171813965,1.7191029787063599
110,1,46,1.3798835277557373,0.9760301113128662
111,1,47,1.4029871225357056,1.3902130126953125
112,1,48,1.4510053396224976,1.8008954524993896
113,1,49,1.42559015750885,1.7733837366104126
114,1,50,1.5403780937194824,1.6497528553009033
115,1,51,1.3819059133529663,1.9075019359588623
116,1,52,1.4651201963424683,1.7081267833709717
117,1,53,1.6371454000473022,1.5702908039093018
118,1,54,1.881993293762207,1.8255772590637207
119,1,55,1.948076844215393,1.7760422229766846
120,1,56,1.9306329488754272,1.9742587804794312
121,1,57,1.6319464445114136,1.7927600145339966
122,1,58,1.8947434425354004,1.9272371530532837
123,1,59,1.6489931344985962,1.9783436059951782
124,1,60,1.5737285614013672,1.8485866785049438
125,1,61,1.8085503578186035,0.5914711952209473
126,1,62,1.7648319005966187,1.6183998584747314
127,1,63,1.7733516693115234,1.9102421998977661
128,2,0,1.608507513999939,0.9746119379997253
129,2,1,1.413732647895813,0.45120003819465637
130,2,2,1.775189995765686,1.9279009103775024
131,2,3,1.6908854246139526,1.8262317180633545
132,2,4,1.6031404733657837,1.7076414823532104
133,2,5,1.398110270500183,1.6750311851501465
134,2,6,1.4323838949203491,1.4250562191009521
135,2,7,1.5622886419296265,1.559179663658142
136,2,8,1.3070427179336548,1.5661143064498901
137,2,9,1.1318780183792114,1.1292181015014648
138,2,10,1.1379019021987915,1.2413513660430908
139,2,11,1.2328476905822754,1.8041198253631592
